Time (ns),Voltage (V)
0.0,5.0
1843.87603442265,5.0
3687.7520688453,5.0
5531.62810326795,5.0
7375.5041376906,5.0
9219.38017211325,5.0
11063.2562065359,5.0
12907.13224095855,5.0
14751.0082753812,5.0
16594.88430980385,5.0
18438.7603442265,5.0
20282.63637864915,5.0
22126.5124130718,5.0
23970.38844749445,5.0
25814.2644819171,5.0
27658.14051633975,5.0
29502.0165507624,5.0
31345.89258518505,5.0
33189.7686196077,5.0
35033.64465403035,5.0
36877.520688453,5.0
38721.39672287565,5.0
40565.2727572983,5.0
42409.14879172095,5.0
44253.0248261436,5.0
46096.90086056625,5.0
47940.7768949889,5.0
49784.65292941155,5.0
51628.5289638342,5.0
53472.40499825685,5.0
55316.2810326795,5.0
57160.15706710216,5.0
59004.0331015248,5.0
60847.90913594745,5.0
62691.7851703701,5.0
64535.66120479275,5.0
66379.5372392154,5.0
68223.41327363806,5.0
70067.2893080607,5.0
71911.16534248335,5.0
73755.041376906,5.0
75598.91741132866,5.0
77442.7934457513,5.0
79286.66948017395,5.0
81130.5455145966,5.0
82974.42154901926,5.0
84818.2975834419,5.0
86662.17361786455,5.0
88506.0496522872,5.0
90349.92568670984,5.0
92193.8017211325,5.0
94037.67775555517,5.0
95881.5537899778,5.0
97725.42982440045,5.0
99569.3058588231,5.0
101413.18189324575,5.0
103257.0579276684,5.0
105100.93396209105,5.0
106944.80999651372,5.0
108788.68603093635,5.0
110632.562065359,5.0
112476.43809978163,5.0
114320.31413420432,5.0
116164.19016862696,5.0
118008.0662030496,5.0
119851.94223747223,5.0
121695.8182718949,5.0
123539.69430631756,5.0
125383.5703407402,5.0
127227.44637516284,5.0
129071.3224095855,5.0
130915.19844400816,5.0
132759.0744784308,5.0
134602.95051285345,5.0
136446.8265472761,5.0
138290.70258169874,5.0
140134.5786161214,5.0
141978.45465054407,5.0
143822.3306849667,5.0
145666.20671938936,5.0
147510.082753812,5.0
149353.95878823465,5.0
151197.8348226573,5.0
153041.71085707995,5.0
154885.5868915026,5.0
156729.46292592524,5.0
158573.3389603479,5.0
160417.21499477056,5.0
162261.0910291932,5.0
164104.96706361586,5.0
165948.84309803852,5.0
167792.71913246115,5.0
169636.5951668838,5.0
171480.47120130644,5.0
173324.3472357291,5.0
175168.22327015176,5.0
177012.0993045744,5.0
178855.97533899706,5.0
180699.8513734197,5.0
182543.72740784235,5.0
184387.603442265,5.0
186231.47947668764,5.0
188075.3555111103,5.0
189919.23154553297,5.0
191763.1075799556,5.0
193606.98361437823,5.0
195450.8596488009,5.0
197294.73568322355,5.0
199138.6117176462,5.0
200982.48775206885,5.0
202826.3637864915,5.0
204670.23982091417,5.0
206514.1158553368,5.0
208357.99188975943,5.0
210201.8679241821,5.0
212045.74395860475,5.0
213889.61999302745,5.0
215733.49602745005,5.0
217577.3720618727,5.0
219421.2480962953,5.0
221265.124130718,5.0
223109.00016514063,5.0
224952.8761995633,5.0
226796.752233986,5.0
228640.62826840865,5.0
230484.50430283125,5.0
232328.3803372539,5.0
234172.2563716765,5.0
236016.1324060992,5.0
237860.00844052187,5.0
239703.8844749445,5.0
241547.7605093672,5.0
243391.6365437898,5.0
245235.51257821245,5.0
247079.3886126351,5.0
248923.26464705772,5.0
250767.1406814804,5.0
252611.01671590307,5.0
254454.8927503257,5.0
256298.7687847484,5.0
258142.644819171,5.0
259986.52085359365,5.0
261830.39688801632,5.0
263674.272922439,5.0
265518.1489568616,5.0
267362.02499128424,5.0
269205.9010257069,5.0
271049.7770601296,5.0
272893.6530945522,5.0
274737.5291289748,5.0
276581.4051633975,5.0
278425.2811978201,5.0
280269.1572322428,5.0
282113.0332666655,5.0
283956.90930108813,5.0
285800.78533551074,5.0
287644.6613699334,5.0
289488.53740435606,5.0
291332.4134387787,5.0
293176.2894732014,5.0
295020.165507624,5.0
296864.04154204665,5.0
298707.9175764693,5.0
300551.793610892,5.0
302395.6696453146,5.0
304239.54567973723,5.0
306083.4217141599,5.0
307927.2977485825,5.0
309771.1737830052,5.0
311615.0498174279,5.0
313458.9258518505,5.0
315302.80188627314,5.0
317146.6779206958,5.0
318990.55395511846,5.0
320834.4299895411,5.0
322678.3060239638,5.0
324522.1820583864,5.0
326366.05809280905,5.0
328209.9341272317,5.0
330053.8101616544,5.0
331897.68619607703,5.0
333741.56223049964,5.0
335585.4382649223,5.0
337429.31429934496,5.0
339273.1903337676,5.0
341117.0663681903,5.0
342960.9424026129,5.0
344804.81843703554,5.0
346648.6944714582,5.0
348492.57050588087,5.0
350336.4465403035,5.0
352180.32257472613,5.0
354024.1986091488,5.0
355868.07464357145,5.0
357711.9506779941,5.0
359555.8267124168,5.0
361399.7027468394,5.0
363243.5787812621,5.0
365087.4548156847,5.0
366931.33085010736,5.0
368775.20688453,5.0
370619.0829189527,5.0
372462.9589533753,5.0
374306.834987798,5.0
376150.7110222206,5.0
377994.5870566433,5.0
379838.46309106593,5.0
381682.3391254885,5.0
383526.2151599112,5.0
385370.09119433386,5.0
387213.9672287565,5.0
389057.8432631792,5.0
390901.7192976018,5.0
392745.5953320245,5.0
394589.4713664471,5.0
396433.34740086977,5.0
398277.2234352924,5.0
400121.09946971503,5.0
401964.9755041377,5.0
403808.8515385604,5.0
405652.727572983,5.0
407496.6036074057,5.0
409340.47964182834,5.0
411184.3556762509,5.0
413028.2317106736,5.0
414872.10774509626,5.0
416715.9837795189,5.0
418559.8598139416,5.0
420403.7358483642,5.0
422247.6118827869,5.0
424091.4879172095,5.0
425935.3639516322,5.0
427779.2399860548,5.0
429623.11602047744,5.0
431466.9920549001,5.0
433310.8680893228,5.0
435154.7441237454,5.0
436998.6201581681,5.0
438842.4961925907,5.0
440686.3722270133,5.0
442530.248261436,5.0
444374.12429585867,5.0
446218.0003302813,5.0
448061.87636470393,5.0
449905.7523991266,5.0
451749.62843354925,5.0
453593.5044679719,5.0
455437.3805023946,5.0
457281.2565368173,5.0
459125.13257123984,5.0
460969.0086056625,5.0
462812.8846400852,5.0
464656.7606745078,5.0
466500.6367089305,5.0
468344.5127433531,5.0
470188.38877777575,5.0
472032.2648121984,5.0
473876.140846621,5.0
475720.0168810437,5.0
477563.89291546633,5.0
479407.768949889,5.0
481251.64498431166,5.0
483095.5210187343,5.0
484939.397053157,5.0
486783.2730875796,5.0
488627.14912200224,5.0
490471.0251564249,5.0
492314.9011908476,5.0
494158.7772252702,5.0
496002.6532596929,5.0
497846.5292941155,5.0
499690.40532853815,5.0
501534.2813629608,5.0
503378.1573973835,5.0
505222.0334318061,5.0
507065.9094662288,5.0
508909.7855006514,5.0
510753.66153507406,5.0
512597.5375694967,5.0
514441.4136039194,5.0
516285.289638342,5.0
518129.1656727647,5.0
