Time (ms),Voltage (V)
38.264215,3.337352
38.265753,3.337352
38.267292,3.337352
38.26883,3.337352
38.270369,3.337352
38.271907,3.337352
38.273446,3.337352
38.274985,3.337352
38.276523,3.337352
38.278062,3.337352
38.2796,3.337352
38.281139,3.337352
38.282677,3.337352
38.284216,3.337352
38.285755,3.337352
38.287293,3.337352
38.288832,3.337352
38.29037,3.293558
38.291909,3.337352
38.293447,3.337352
38.294986,3.337352
38.296525,3.337352
38.298063,3.337352
38.299602,3.337352
38.30114,3.337352
38.302679,3.337352
38.304217,3.337352
38.305756,3.337352
38.307295,3.337352
38.308833,3.337352
38.310372,3.337352
38.31191,3.293558
38.313449,3.293558
38.314987,3.337352
38.316526,3.337352
38.318064,3.337352
38.319603,3.337352
38.321142,3.337352
38.32268,3.337352
38.324219,3.337352
38.325757,3.337352
38.327296,3.337352
38.328834,3.337352
38.330373,3.293558
38.331912,3.337352
38.33345,3.337352
38.334989,3.381298
38.336527,3.337352
38.338066,3.337352
38.339604,3.337352
38.341143,3.337352
38.342682,3.337352
38.34422,3.337352
38.345759,3.337352
38.347297,3.337352
38.348836,3.337352
38.350374,3.337352
38.351913,3.337352
38.353452,3.337352
38.35499,3.337352
38.356529,3.337352
38.358067,3.337352
38.359606,3.337352
38.361144,3.337352
38.362683,3.337352
38.364222,3.337352
38.36576,3.337352
38.367299,3.337352
38.368837,3.337352
38.370376,3.337352
38.371914,3.337352
38.373453,3.337352
38.374992,3.337352
38.37653,3.337352
38.378069,3.337352
38.379607,3.337352
38.381146,3.337352
38.382684,3.337352
38.384223,3.337352
38.385762,3.337352
38.3873,3.337352
38.388839,3.337352
38.390377,3.337352
38.391916,3.293558
38.393454,3.337352
38.394993,3.337352
38.396532,3.337352
38.39807,3.337352
38.399609,3.381298
38.401147,3.337352
38.402686,3.337352
38.404224,3.337352
38.405763,3.337352
38.407302,3.337352
38.40884,3.337352
38.410379,3.337352
38.411917,3.337352
38.413456,3.337352
38.414994,3.337352
38.416533,3.337352
38.418071,3.337352
38.41961,3.337352
38.421149,3.337352
38.422687,3.381298
38.424226,3.337352
38.425764,3.337352
38.427303,3.337352
38.428841,3.337352
38.43038,3.337352
38.431919,3.337352
38.433457,3.337352
38.434996,3.337352
38.436534,3.337352
38.438073,3.337352
38.439611,3.337352
38.44115,3.337352
38.442689,3.337352
38.444227,3.337352
38.445766,3.337352
38.447304,3.337352
38.448843,3.337352
38.450381,3.337352
38.45192,3.337352
38.453459,3.337352
38.454997,3.337352
38.456536,3.337352
38.458074,3.337352
38.459613,3.337352
38.461151,3.337352
38.46269,3.337352
38.464229,3.337352
38.465767,3.337352
38.467306,3.293558
38.468844,3.337352
38.470383,3.337352
38.471921,0.046693
38.47346,0.002899
38.474999,0.046693
38.476537,0.046693
38.478076,0.046693
38.479614,0.046693
38.481153,0.046693
38.482691,0.046693
38.48423,0.046693
38.485769,0.046693
38.487307,0.046693
38.488846,0.046693
38.490384,0.046693
38.491923,0.046693
38.493461,0.046693
38.495,0.046693
38.496539,0.046693
38.498077,0.046693
38.499616,0.046693
38.501154,0.046693
38.502693,0.046693
38.504231,0.046693
38.50577,0.046693
38.507309,0.046693
38.508847,0.046693
38.510386,0.046693
38.511924,0.046693
38.513463,0.046693
38.515001,0.046693
38.51654,0.046693
38.518078,0.046693
38.519617,0.046693
38.521156,0.046693
38.522694,0.046693
38.524233,0.046693
38.525771,0.046693
38.52731,0.046693
38.528848,0.046693
38.530387,0.046693
38.531926,0.046693
38.533464,0.046693
38.535003,0.046693
38.536541,0.046693
38.53808,0.046693
38.539618,0.046693
38.541157,0.046693
38.542696,0.046693
38.544234,0.046693
38.545773,0.046693
38.547311,0.046693
38.54885,0.046693
38.550388,0.046693
38.551927,0.046693
38.553466,0.046693
38.555004,0.046693
38.556543,0.046693
38.558081,0.046693
38.55962,0.046693
38.561158,0.046693
38.562697,0.046693
38.564236,0.046693
38.565774,0.046693
38.567313,0.046693
38.568851,0.046693
38.57039,0.046693
38.571928,0.046693
38.573467,0.046693
38.575006,0.046693
38.576544,0.046693
38.578083,0.046693
38.579621,0.046693
38.58116,0.046693
38.582698,0.046693
38.584237,0.002899
38.585776,0.046693
38.587314,0.046693
38.588853,0.046693
38.590391,0.046693
38.59193,0.046693
38.593468,0.046693
38.595007,0.046693
38.596546,0.046693
38.598084,0.046693
38.599623,0.046693
38.601161,0.046693
38.6027,0.046693
38.604238,0.046693
38.605777,0.046693
38.607315,0.046693
38.608854,0.046693
38.610393,0.046693
38.611931,0.002899
38.61347,0.002899
38.615008,0.046693
