Time (ms),Voltage (V)
0.000000,3.337352
0.001500,3.337352
0.003000,3.293558
0.004500,3.337352
0.006000,3.337352
0.007500,3.337352
0.009000,3.337352
0.010500,3.337352
0.012000,3.337352
0.013500,3.337352
0.015000,3.337352
0.016500,3.337352
0.018000,3.381298
0.019500,3.337352
0.021000,3.337352
0.022500,3.337352
0.024000,3.337352
0.025500,3.337352
0.027000,3.337352
0.028500,3.337352
0.030000,3.337352
0.031500,3.337352
0.033000,3.337352
0.034500,3.293558
0.036000,3.337352
0.037500,3.337352
0.039000,3.337352
0.040500,3.337352
0.042000,3.337352
0.043500,3.337352
0.045000,3.293558
0.046500,3.337352
0.048000,3.337352
0.049500,3.337352
0.051000,3.337352
0.052500,3.337352
0.054000,3.337352
0.055500,3.381298
0.057000,3.381298
0.058500,3.337352
0.060000,3.337352
0.061500,3.337352
0.063000,3.337352
0.064500,3.337352
0.066000,3.337352
0.067500,3.337352
0.069000,3.337352
0.070500,3.337352
0.072000,3.337352
0.073500,3.337352
0.075000,3.337352
0.076500,3.337352
0.078000,3.337352
0.079500,3.293558
0.081000,3.337352
0.082500,3.337352
0.084000,3.293558
0.085500,3.293558
0.087000,3.337352
0.088500,3.337352
0.090000,3.337352
0.091500,3.337352
0.093000,3.337352
0.094500,3.337352
0.096000,3.337352
0.097500,3.337352
0.099000,3.337352
0.100500,3.337352
0.102000,3.293558
0.103500,3.337352
0.105000,3.337352
0.106500,3.337352
0.108000,3.337352
0.109500,3.337352
0.111000,3.293558
0.112500,3.337352
0.114000,3.337352
0.115500,3.337352
0.117000,3.337352
0.118500,3.337352
0.120000,3.293558
0.121500,3.337352
0.123000,3.337352
0.124500,3.337352
0.126000,3.337352
0.127500,3.293558
0.129000,3.337352
0.130500,3.337352
0.132000,3.337352
0.133500,3.337352
0.135000,3.337352
0.136500,3.337352
0.138000,3.337352
0.139500,3.293558
0.141000,3.337352
0.142500,3.337352
0.144000,3.337352
0.145500,3.337352
0.147000,3.337352
0.148500,3.337352
0.150000,0.046693
0.151500,0.046693
0.153000,0.046693
0.154500,0.046693
0.156000,0.046693
0.157500,0.046693
0.159000,0.046693
0.160500,0.046693
0.162000,0.046693
0.163500,0.002899
0.165000,0.046693
0.166500,0.046693
0.168000,0.046693
0.169500,0.046693
0.171000,0.046693
0.172500,0.046693
0.174000,0.046693
0.175500,0.046693
0.177000,0.046693
0.178500,0.046693
0.180000,0.046693
0.181500,0.046693
0.183000,0.046693
0.184500,0.046693
0.186000,0.046693
0.187500,0.046693
0.189000,0.046693
0.190500,0.046693
0.192000,0.046693
0.193500,0.046693
0.195000,0.046693
0.196500,0.046693
0.198000,0.046693
0.199500,0.046693
0.201000,0.046693
0.202500,0.002899
0.204000,0.046693
0.205500,0.046693
0.207000,0.046693
0.208500,0.046693
0.210000,0.046693
0.211500,0.046693
0.213000,0.046693
0.214500,0.046693
0.216000,0.046693
0.217500,0.046693
0.219000,0.046693
0.220500,0.002899
0.222000,0.046693
0.223500,0.046693
0.225000,0.046693
0.226500,0.046693
0.228000,0.046693
0.229500,0.046693
0.231000,0.046693
0.232500,0.046693
0.234000,0.046693
0.235500,0.046693
0.237000,0.046693
0.238500,0.046693
0.240000,0.046693
0.241500,0.046693
0.243000,0.046693
0.244500,0.046693
0.246000,0.046693
0.247500,0.046693
0.249000,0.046693
0.250500,0.046693
0.252000,0.046693
0.253500,0.046693
0.255000,0.046693
0.256500,0.002899
0.258000,0.002899
0.259500,0.046693
0.261000,0.002899
0.262500,0.046693
0.264000,0.046693
0.265500,0.046693
0.267000,0.002899
0.268500,0.046693
0.270000,0.046693
0.271500,0.046693
0.273000,0.046693
0.274500,0.046693
0.276000,0.046693
0.277500,0.046693
0.279000,0.046693
0.280500,0.002899
0.282000,0.002899
0.283500,0.002899
0.285000,0.046693
0.286500,0.046693
0.288000,0.046693
0.289500,0.046693
0.291000,0.002899
