mean_one,std_one,std_zero,var_one,var_zero,skew_one,skew_zero,kurt_one,kurt_zero,rms_one,rms_zero,en_one,en_zero,max_one,max_zero,min_one,min_zero,mse_one,cos_one,cos_zero,msg_size,char_len,label
4.6512167821,0.0334090811,0.0150386950,0.0011161667,0.0002261623,-55.1050237085,29.7395823047,3739.2473360988,2606.0492946733,4.6513367670,0.0150399354,21.6349337204,0.0002261997,4.8292489395,1.3629566332,1.8894009217,-0.1725769043,1.8269029588,0.9999742042,-0.0128429704,medium,44,B
4.4320611378,0.0159735870,0.0146664433,0.0002551555,0.0002151046,-71.8849509292,40.3181133473,9306.0881206372,4606.4263286485,4.4320899229,0.0147806360,19.6434210851,0.0002184672,4.8292489395,1.3629566332,2.3720511490,-0.7868957520,1.2818175753,0.9999935053,0.1240644178,medium,44,A
4.3918047099,0.0266304015,2.4489482058,0.0007091783,5.9973473149,-50.8999905446,-0.4122595145,3360.0161594654,-1.8299658440,4.3918854480,3.1585124191,19.2886577885,9.9762007016,4.7853022858,0.0466933195,2.6792199469,-5.0000000000,1.1927467029,0.9999816165,-0.6315334804,small,13,A
4.6508813069,0.0245104868,0.0164672357,0.0006007640,0.0002711699,-67.3413140738,29.6739319466,7070.0727991353,2259.0838241763,4.6509458925,0.0164696071,21.6312976946,0.0002712480,4.8730430006,1.4506973479,1.7578661458,-0.1725769043,1.8254810692,0.9999861135,-0.0169689519,medium,44,B
4.6521598671,0.0236710186,0.0184547817,0.0005603171,0.0003405790,-71.6716857464,49.0727448264,7196.1341953412,3713.8544272821,4.6522200879,0.0184781848,21.6431517465,0.0003414433,4.8730430006,1.5822321238,2.0648823511,-0.2165222168,1.8288966234,0.9999870555,0.0503134843,medium,44,B
4.6510338684,0.0185929540,0.2862462720,0.0003456979,0.0819369282,-69.0643707399,-17.2971146771,8991.4484384693,298.3561244276,4.6510710319,0.2866777555,21.6324617433,0.0821841355,4.8730430006,1.5384380627,1.7578661458,-5.0000000000,1.8256382116,0.9999920097,-0.0548449466,large,174,B
4.6510283435,0.0276349999,0.0106731255,0.0007636932,0.0001139156,-48.8280413913,-5.1758351949,3004.6488810860,48.2292359942,4.6511104422,0.0106884160,21.6328283457,0.0001142422,4.8730430006,0.0466933195,2.9424420911,-0.2165222168,1.8260412783,0.9999823486,0.0534703330,small,13,B
4.3922013943,0.0255343104,2.0123956619,0.0006520010,4.0497363000,-50.0324574399,-1.4750301878,3233.8710394236,0.1758374395,4.3922756162,2.2539886190,19.2920850887,5.0804646947,4.7415082247,0.3099154637,2.7669606616,-5.0000000000,1.1935558866,0.9999831017,-0.4504228366,small,13,A
4.4241966298,0.0187388778,2.4910953201,0.0003511455,6.2055558937,-1.4958074190,-0.1725306937,2.5561199160,-1.9701783203,4.4242363142,3.3801630789,19.5738669643,11.4255024400,4.4782860805,0.3537095248,4.2149113437,-5.0000000000,1.2641692079,0.9999910302,-0.6759201199,small,13,A
4.6533191127,0.0129652522,0.4155249489,0.0001680978,0.1726609831,-68.2467382959,-11.8511775475,14057.1342369295,138.6823003422,4.6533371748,0.4168805392,21.6535468625,0.1737893840,4.8730430006,1.0995818964,1.8456068606,-5.0000000000,1.8316407186,0.9999961185,-0.0805786665,medium,44,B
4.6510438191,0.0121231522,0.0217394201,0.0001469708,0.0004726024,-2.1530230496,39.6118497033,9.3977639572,2408.6664215121,4.6510596188,0.0217417222,21.6323555780,0.0004727025,4.7415082247,1.3190099796,4.6098208563,-0.0848388672,1.8254663720,0.9999966030,-0.0145519148,small,13,B
4.3905305885,0.0180282218,1.4182801315,0.0003250168,2.0115185314,-68.5015891808,-2.9043890634,7363.4457083862,6.4366023026,4.3905676017,1.4847595820,19.2770838650,2.2045110162,4.9169896542,1.3629566332,2.2843104343,-5.0000000000,1.1895819812,0.9999915698,-0.2958789455,medium,44,A
4.6523539667,0.0227336494,0.0168558743,0.0005168188,0.0002841205,-65.8589686281,48.6548326402,6235.0758805695,4251.4858941559,4.6524095102,0.0168669040,21.6449142504,0.0002844925,4.8292489395,1.6261787774,2.2843104343,-0.2165222168,1.8293780701,0.9999880614,0.0361584492,medium,44,B
4.6480810359,0.0187163499,0.0150389690,0.0003503018,0.0002261706,-41.5858045594,64.2919866336,5144.2966037006,5956.6012071098,4.6481187182,0.0151601218,21.6050076184,0.0002298293,4.8292489395,1.6261787774,1.6701254311,-0.2165222168,1.8176727812,0.9999918930,0.1261714030,large,174,A
4.6501825170,0.0259351351,1.0713045556,0.0006726312,1.1476934509,-35.7383693184,-4.2164633617,1806.6474019070,15.7808873768,4.6502548396,1.0981157634,21.6248700730,1.2058582299,4.8730430006,0.0466933195,3.2496108890,-5.0000000000,1.8236654606,0.9999844476,-0.2196250712,small,13,B
4.6494881852,0.0331644990,0.0121321187,0.0010998840,0.0001471883,-52.8638671685,-2.3074423583,3340.1975192661,15.3562175754,4.6496064639,0.0121422164,21.6188402688,0.0001474334,4.7853022858,0.1783806879,2.5475325785,-0.0410461426,1.8222182461,0.9999745616,-0.0407743223,small,13,B
