mean_one,std_one,std_zero,var_one,var_zero,skew_one,skew_zero,kurt_one,kurt_zero,rms_one,rms_zero,en_one,en_zero,max_one,max_zero,min_one,min_zero,mse_one,cos_one,cos_zero,msg_size,char_len,label
4.9997586025,0.0166070766,0.2352666417,0.0002757950,0.0553503927,-144.4275303042,-21.0854917374,22935.0283033417,444.6005645416,4.9997861832,0.2354317764,24.9978618781,0.0554281213,5.0000000000,1.6261787774,1.7139194922,-5.0000000000,2.8894551017,0.9999944836,-0.0374477241,large,174,G
4.9992567997,0.0085424048,0.4153769003,0.0000729727,0.1725379693,-188.8877086508,-11.8631652206,65208.8774850159,138.8741549358,4.9992640981,0.4166745732,24.9926415225,0.1736176999,5.0000000000,1.0995818964,1.8456068606,-5.0000000000,2.8875466442,0.9999985401,-0.0788607139,medium,44,F
4.9992092228,0.0399141096,0.0114812136,0.0015931361,0.0001318183,-66.5043527277,38.9213751150,4669.7904604158,4990.1313633439,4.9993685590,0.0116873326,24.9936859890,0.0001365937,5.0000000000,1.2752159185,1.7139194922,-0.4797363281,2.8889051188,0.9999681287,0.1869790399,medium,44,G
4.9987987217,0.0218615802,0.0120177558,0.0004779287,0.0001444265,-100.2182855879,48.6609405129,11879.3869173838,4907.2290413698,4.9988465259,0.0121652976,24.9884665890,0.0001479945,5.0000000000,1.4067506943,1.6701254311,-0.2604675293,2.8863950256,0.9999904370,0.1552710260,large,174,A
4.9998840611,0.0021249850,2.4451162333,0.0000045156,5.9785933942,-18.2739243217,-0.4299729490,331.9363101144,-1.8150990615,4.9998845126,3.1420744449,24.9988451396,9.8726318174,5.0000000000,0.0466933195,4.9609363079,-5.0000000000,2.8896103366,0.9999999097,-0.6280347084,small,13,E
4.9995171282,0.0299367877,0.0157902509,0.0008962113,0.0002493320,-74.4923907567,6.2938994944,5770.0380578412,1377.4790477677,4.9996067572,0.0157903899,24.9960677266,0.0002493364,5.0000000000,1.0995818964,2.4597918638,-0.7868957520,2.8892546804,0.9999820728,0.0041956116,medium,44,A
4.9996217718,0.0239370080,0.0133092015,0.0005729804,0.0001771348,-92.7973470087,-45.1049054636,9144.4585997949,3294.1839120224,4.9996790738,0.0133907140,24.9967908411,0.0001793112,5.0000000000,0.2221747490,2.3720511490,-1.1378479004,2.8892871474,0.9999885389,0.1101699937,medium,44,A
4.9997179122,0.0137379800,0.0135472638,0.0001887321,0.0001835284,-168.3750559295,15.6932412715,31862.5808485923,3689.6188054262,4.9997367864,0.0136547353,24.9973679337,0.0001864518,5.0000000000,1.5822321238,1.8894009217,-0.6552124023,2.8892297132,0.9999962250,0.1252171739,large,174,E
4.9998927245,0.0029660100,0.0179469590,0.0000087972,0.0003220933,-43.3004429080,63.5558946253,2302.2631459737,4494.2662483352,4.9998936043,0.0181635898,24.9989360540,0.0003299160,5.0000000000,1.2752159185,4.8292489395,-0.0848388672,2.8896440721,0.9999998240,0.1539839485,small,13,C
4.9990467859,0.0259122166,0.0120813622,0.0006714430,0.0001459593,-90.4522603853,-24.1147012376,9550.1709142056,1714.7172072116,4.9991139426,0.0121806947,24.9911402110,0.0001483693,5.0000000000,0.6169316691,1.8016602069,-0.7431030273,2.8874314238,0.9999865663,0.1274493132,medium,44,F
4.9995543772,0.0159577200,0.0148222312,0.0002546488,0.0002196985,-154.6780189331,53.4635014816,27069.3377284897,5097.1195116740,4.9995798443,0.0149318129,24.9957986195,0.0002229590,5.0000000000,1.6261787774,1.7139194922,-0.3482055664,2.8887397299,0.9999949062,0.1209286859,large,174,A
4.9999444355,0.0070446892,0.0209510609,0.0000496276,0.0004389470,-338.6602269774,20.8423944234,125204.5917669962,2240.4641291854,4.9999493983,0.0209581394,24.9994939858,0.0004392436,5.0000000000,1.4944914090,2.1088290048,-0.8308410645,2.8898607115,0.9999990074,0.0259880154,medium,44,A
4.9983726562,0.0270258002,0.0136826521,0.0007303939,0.0001872150,-76.4861282021,26.5151428507,6451.9129888491,1900.5164881741,4.9984457189,0.0136935220,24.9844596045,0.0001875125,5.0000000000,0.9680471206,2.4597918638,-0.1287841797,2.8852000733,0.9999853829,0.0398368593,medium,44,D
4.9989758466,0.0287410778,0.0110041674,0.0008260496,0.0001210917,-83.0430297254,72.4747100483,7855.6736744949,8412.5221770718,4.9990584678,0.0112813593,24.9905855645,0.0001272691,5.0000000000,1.4506973479,1.7139194922,-0.2604675293,2.8873449769,0.9999834726,0.2203130917,large,174,A
4.9988201334,0.0222464177,0.0136830023,0.0004949031,0.0001872246,-104.0717218253,29.6654007163,12485.3730996645,3476.4017388321,4.9988696352,0.0137337601,24.9886976293,0.0001886162,5.0000000000,1.4944914090,1.7139194922,-0.6114196777,2.8864847488,0.9999900974,0.0858954868,large,174,D
4.9983031177,0.0192802593,2.2482729566,0.0003717284,5.0547312874,-56.3145173154,-0.9735624834,3677.7749182261,-1.0520733082,4.9983403030,2.6511836528,24.9834057849,7.0287747611,5.0000000000,0.0466933195,3.7322611164,-5.0000000000,2.8846052080,0.9999925605,-0.5299544499,small,13,D
4.9998057429,0.0108011808,0.0183239775,0.0001166655,0.0003357682,-66.6231067569,7.6518713574,4547.1500354392,1684.0743933327,4.9998174099,0.0184773848,24.9981741321,0.0003414137,5.0000000000,0.9241004669,4.2588579974,-0.7431030273,2.8894562291,0.9999976665,0.1285921557,small,13,B
4.9996139981,0.0197425115,0.0156425558,0.0003897668,0.0002446896,-89.7117472756,35.8392731618,8744.9129952903,4377.2638151142,4.9996529776,0.0157827221,24.9965298964,0.0002490943,5.0000000000,1.6261787774,2.5037385174,-0.6552124023,2.8890775092,0.9999922036,0.1329778918,large,174,E
4.9998192033,0.0084672314,0.0130788426,0.0000716940,0.0001710561,-114.1653569447,51.7661909688,14608.8266700711,6353.4618051972,4.9998263730,0.0132714088,24.9982637601,0.0001761303,5.0000000000,1.5384380627,3.8200018311,-0.4797363281,2.8894570180,0.9999985660,0.1697326533,medium,44,G
4.9999358165,0.0015821269,0.0184756784,0.0000025031,0.0003413507,-24.6094828420,57.6439234835,603.6266457519,4007.4139258740,4.9999360668,0.0186208087,24.9993606721,0.0003467345,5.0000000000,1.2752159185,4.9609363079,-0.2165222168,2.8897842833,0.9999999499,0.1246082801,small,13,C
4.9983575842,0.0316156798,0.0162189317,0.0009995512,0.0002630537,-88.5160936824,-30.6189580234,8462.8164984292,1619.9769809881,4.9984575711,0.0162328621,24.9845780903,0.0002635058,5.0000000000,0.3537095248,1.7578661458,-1.0063171387,2.8854180349,0.9999799964,0.0414196418,medium,44,D
4.9998204938,0.0183513020,1.1672310398,0.0003367703,1.3624283004,-163.7496834024,-3.7899723517,27611.5072346827,12.3672699877,4.9998541719,1.2018621909,24.9985417401,1.4444727259,5.0000000000,1.4944914090,1.8894009217,-5.0000000000,2.8897264813,0.9999932642,-0.2383251451,medium,44,C
4.9984790588,0.0266254994,0.6833796715,0.0007089172,0.4670077754,-74.2957244260,-7.0358475591,5985.3336582000,47.5280697295,4.9985499716,0.6898667555,24.9855018186,0.4759161403,5.0000000000,1.0557878353,2.7231666005,-5.0000000000,2.8855400304,0.9999858133,-0.1368150215,medium,44,D
4.9992030768,0.0167634305,0.0145931867,0.0002810126,0.0002129611,-86.7761174130,37.9977316545,8523.8081349712,4349.3328902181,4.9992311825,0.0147195118,24.9923124159,0.0002166640,5.0000000000,1.4506973479,3.2058168279,-0.6991577148,2.8875721089,0.9999943780,0.1307312318,medium,44,F
4.9998804449,0.0061972177,0.4150923195,0.0000384055,0.1723016337,-272.8038337276,-11.8624295645,87364.3884052412,139.0366299479,4.9998842856,0.4163317413,24.9988428690,0.1733321188,5.0000000000,1.4944914090,2.8547013764,-5.0000000000,2.8896319325,0.9999992319,-0.0771047878,medium,44,G
