mean_one,std_one,std_zero,var_one,var_zero,skew_one,skew_zero,kurt_one,kurt_zero,rms_one,rms_zero,en_one,en_zero,max_one,max_zero,min_one,min_zero,mse_one,cos_one,cos_zero,msg_size,char_len,label
3.2942636856,0.0146713336,2.4623597670,0.0002152480,6.0632156221,-75.9607881760,-0.3458266080,7672.8336162672,-1.8802878125,3.2942963556,3.2202270055,10.8523884785,10.3698619668,3.5567796869,1.0118411817,1.7139194922,-5.0000000000,0.0002481533,0.9999900829,-0.6444409320,medium,44,B
3.2970497034,0.0184911848,0.0129604038,0.0003419239,0.0001679721,-27.5343597445,62.6976022843,2161.7988307893,7190.2450221039,3.2971015561,0.0132173833,10.8708786709,0.0001746992,3.8639484848,1.5822321238,1.8016602069,-0.5236816406,0.0003506282,0.9999842733,0.1962321708,large,174,C
3.2943590156,0.0110083353,0.0172562360,0.0001211834,0.0002977777,-38.0835353088,27.1222404920,6025.2822434193,2414.6824614303,3.2943774081,0.0172587594,10.8529225070,0.0002978648,3.9077425459,1.5822321238,1.7139194922,-0.5674743652,0.0001530042,0.9999944170,-0.0170995209,large,174,B
3.3002070011,0.0183956373,0.0203295454,0.0003383995,0.0004132904,-1.4711415819,37.0174207547,117.4964914399,2031.9440869490,3.3002582702,0.0205067802,10.8917046497,0.0004205280,3.6445204016,1.0995818964,2.8547013764,-0.3919982910,0.0003384423,0.9999844651,0.1311898925,small,13,B
3.2863702197,0.0181260795,0.0249062494,0.0003285548,0.0006203213,-7.4805030502,8.2013909250,526.7246298167,567.2727911356,3.2864202068,0.0285611489,10.8005577756,0.0008157392,3.9077425459,1.6261787774,1.8894009217,-0.6114196777,0.0005143257,0.9999847898,-0.4894480188,large,174,A
3.3008289519,0.0309486873,0.0205363047,0.0009578212,0.0004217398,-26.4505511595,19.5780523758,1264.6589024777,1303.6534313633,3.3009740367,0.0205363632,10.8964295910,0.0004217422,3.7762077700,1.0557878353,1.8016602069,-0.4359436035,0.0009585084,0.9999560479,-0.0023874855,small,13,D
3.2950699735,0.0166900034,0.0195052830,0.0002785562,0.0003804561,-41.2664440388,24.5468269444,4257.7750246888,1940.2952688491,3.2951122419,0.0195110510,10.8577646865,0.0003806811,3.8200018311,1.4944914090,1.7139194922,-0.4797363281,0.0003028614,0.9999871724,-0.0243138500,medium,44,F
3.2789402850,0.0248632633,0.0246715802,0.0006181819,0.0006086869,-10.3349486192,5.4604644940,643.8289413737,357.7585722702,3.2790345491,0.0307307591,10.7520675743,0.0009443796,3.9077425459,1.4506973479,1.7578661458,-0.6114196777,0.0010616935,0.9999712525,-0.5962077975,large,174,A
3.2982224526,0.0156211224,0.0146618310,0.0002440195,0.0002149693,-12.0098128734,57.2031565292,1329.0638433493,5632.4373490986,3.2982594450,0.0148653242,10.8785153663,0.0002209779,3.8200018311,1.6261787774,1.6701254311,-0.4797363281,0.0002471791,0.9999887843,0.1648964858,large,174,C
3.2943361056,0.0102432543,0.0177274682,0.0001049243,0.0003142631,-27.7964157076,28.7749400322,5493.1820830077,2322.1947620751,3.2943520305,0.0177356977,10.8527553008,0.0003145550,3.9077425459,1.5822321238,1.6701254311,-0.5674743652,0.0001370040,0.9999951660,-0.0304598021,large,174,B
3.2951031600,0.0107153724,0.0133697405,0.0001148192,0.0001787500,18.9976397102,-6.7483087549,780.4184434944,154.2375971893,3.2951205827,0.0134056615,10.8578196545,0.0001797118,3.8200018311,0.0466933195,3.2058168279,-0.5236816406,0.0001387982,0.9999947126,-0.0731566865,medium,44,F
3.3040936476,0.0190168634,0.0168867279,0.0003616411,0.0002851616,1.6743079595,1.0425769083,59.1282378979,2303.5515273557,3.3041483733,0.0168871766,10.9173964730,0.0002851767,4.3026520585,1.4067506943,2.4159978027,-0.9185791016,0.0003783990,0.9999834373,-0.0072896989,medium,44,D
