mean_one,std_one,std_zero,var_one,var_zero,skew_one,skew_zero,kurt_one,kurt_zero,rms_one,rms_zero,en_one,en_zero,max_one,max_zero,min_one,min_zero,mse_one,cos_one,cos_zero,msg_size,char_len,label
3.2994327854,0.0220235249,0.0173547185,0.0004850356,0.0003011863,-11.5947945861,28.9829861340,790.7253287868,3073.9690628741,3.2995062875,0.0174072504,10.8867417410,0.0003030124,3.7762077700,1.6261787774,1.6701254311,-0.6552124023,0.0004853574,0.9999777233,0.0776306721,large,174,A
3.2988048361,0.0223577010,0.0174701750,0.0004998668,0.0003052070,-12.4235898979,25.3243890082,765.0308663833,2729.5661010575,3.2988806001,0.0174839769,10.8826132135,0.0003056894,3.7762077700,1.6261787774,1.7139194922,-0.6552124023,0.0005012952,0.9999770334,0.0397264212,large,174,A
3.2895784453,0.0210700816,0.0210456368,0.0004439483,0.0004429188,-20.5935893377,59.2767100993,1475.0806826609,4308.5360978372,3.2896459226,0.0211315852,10.8217702960,0.0004465439,3.5129856258,1.6261787774,1.6701254311,-0.3042602539,0.0005525571,0.9999794880,0.0901002491,large,174,B
3.2996446105,0.0223040500,0.1373259346,0.0004974706,0.0188584123,-11.1186931530,-35.7262876202,711.7522116742,1299.8910238214,3.2997199921,0.1373489357,10.8881520263,0.0188647301,3.7762077700,1.6261787774,1.7139194922,-5.0000000000,0.0004975969,0.9999771552,-0.0183003178,large,174,A
3.2898937133,0.0206008798,0.0164187323,0.0004243962,0.0002695748,-15.8094630015,55.5898051348,942.1836926167,4777.0200528897,3.2899582126,0.0165264779,10.8238250410,0.0002731245,3.5567796869,1.6261787774,1.7578661458,-0.3482055664,0.0005265333,0.9999803951,0.1140028368,large,174,B
3.3036095734,0.0203322208,2.4912660042,0.0004133992,6.2064063036,2.0614328899,0.1780983408,15.9453860291,-1.9682165802,3.3036721406,3.6889775874,10.9142496125,13.6085556401,3.6007263405,0.9241004669,3.2496108890,-5.0000000000,0.0004264282,0.9999810613,-0.7375184762,small,13,A
3.2896362264,0.0204363682,0.0157547464,0.0004176451,0.0002482120,-13.6729505214,51.9473962152,791.2245366602,4430.3397906501,3.2896997047,0.0158647622,10.8221241472,0.0002516907,3.5567796869,1.6261787774,1.7139194922,-0.3482055664,0.0005250529,0.9999807039,0.1175632367,large,174,B
3.2907504251,0.0175421109,0.4068359895,0.0003077257,0.1655155223,-2.6497402794,-12.1067658011,125.1184457928,144.8937661897,3.2907971809,0.4080862307,10.8293460861,0.1665343717,3.6445204016,1.3629566332,2.1088290048,-5.0000000000,0.0003932803,0.9999857919,-0.0782173407,medium,44,B
3.3004019486,0.0173915712,0.3611804952,0.0003024667,0.1304513501,-3.6021794444,-13.6688021018,451.4838937011,185.3479190398,3.3004477710,0.3620479816,10.8929554888,0.1310787410,3.6445204016,1.6261787774,1.7139194922,-5.0000000000,0.0003026283,0.9999861163,-0.0691835723,medium,44,A
3.2889181402,0.0214744274,0.0154789096,0.0004611510,0.0002395966,-14.9618786594,46.9885951718,829.9944798964,4007.2375394690,3.2889882462,0.0155670298,10.8174436839,0.0002423324,3.5567796869,1.6261787774,1.6701254311,-0.3482055664,0.0005839586,0.9999786846,0.1062513481,large,174,B
3.2912935820,0.0176632454,0.3694979526,0.0003119902,0.1365287370,-9.3844781885,-13.3686811258,656.2553158697,177.0292253700,3.2913409780,0.3703847173,10.8329254335,0.1371848388,3.6007263405,1.4506973479,1.7578661458,-5.0000000000,0.0003877920,0.9999855998,-0.0691564286,medium,44,B
3.2878860604,0.0202811174,0.0172201749,0.0004113237,0.0002965344,-7.5165453106,41.2157237018,525.1026609061,3236.4329478852,3.2879486112,0.0172717604,10.8106060699,0.0002983137,3.6007263405,1.5822321238,1.9333475753,-0.4359436035,0.0005580713,0.9999809757,0.0772299745,medium,44,B
3.2914402437,0.0168248523,0.5980562637,0.0002830757,0.3576712945,-2.7908654666,-8.1099792272,214.7355648916,63.8780576610,3.2914832452,0.6022407075,10.8338619532,0.3626938698,3.6445204016,1.6261787774,1.8016602069,-5.0000000000,0.0003563451,0.9999869355,-0.1176774144,medium,44,B
3.3005032160,0.0221100681,0.0171560262,0.0004888551,0.0002943292,-10.5509361620,28.1669360988,688.4654194680,2818.5615482014,3.3005772728,0.0172388252,10.8938103338,0.0002971771,3.7762077700,1.6261787774,1.7139194922,-0.6552124023,0.0004891083,0.9999775625,0.0978929805,large,174,A
3.2891687328,0.0221970480,0.0152672222,0.0004927089,0.0002330881,-18.6566654139,48.9117415612,1067.7083079314,4350.9287377490,3.2892436306,0.0153519326,10.8191236616,0.0002356818,3.5567796869,1.6261787774,1.7139194922,-0.3482055664,0.0006100253,0.9999772295,0.1049063614,large,174,B
3.2976475575,0.0212078197,0.0150578153,0.0004497716,0.0002267378,-18.8377571323,26.7792055917,1275.5395036636,3266.1058877378,3.2977157526,0.0151507807,10.8749291853,0.0002295462,3.7322611164,1.5822321238,1.7139194922,-0.5674743652,0.0004553056,0.9999793205,0.1106091065,large,174,B
3.2996348794,0.0177621503,0.0135777955,0.0003154940,0.0001843565,1.5488497628,-23.9201171181,7.8365553541,1114.2740096604,3.2996826865,0.0136037521,10.8879058314,0.0001850621,3.5129856258,0.1783806879,3.2058168279,-0.6991577148,0.0003156273,0.9999855116,0.0617450615,small,13,A
3.2987591143,0.0229032608,0.0168499150,0.0005245594,0.0002839196,-14.6866355955,23.6056285916,942.3286563143,2925.6768316307,3.2988386219,0.0168722702,10.8823362536,0.0002846735,3.7762077700,1.6261787774,1.6701254311,-0.6552124023,0.0005260992,0.9999758983,0.0514604322,large,174,A
3.2992508047,0.0212643025,0.0179420279,0.0004521706,0.0003219164,-7.0378697337,30.8132844957,536.9878422146,2902.1195163229,3.2993193302,0.0179751127,10.8855080429,0.0003231047,3.7762077700,1.6261787774,1.6701254311,-0.6552124023,0.0004527319,0.9999792304,0.0606448195,large,174,A
3.2863582440,0.0319502421,0.0092918384,0.0010208180,0.0000863383,-25.3487974103,-6.2550144350,962.1541278280,72.3774288163,3.2865135518,0.0093520377,10.8011713261,0.0000874606,3.3373516037,0.0466933195,2.0210882900,-0.2165222168,0.0012069155,0.9999527439,0.1132811139,small,13,B
3.3006761498,0.0169930189,0.0174387419,0.0002887627,0.0003041097,1.3059175983,39.9333650736,9.8561680788,2706.8695177359,3.3007198925,0.0175242918,10.8947518085,0.0003071008,3.5567796869,1.3629566332,2.6792199469,-0.3919982910,0.0002892199,0.9999867475,0.0986901568,medium,44,A
3.3032634410,0.0197236935,0.0154348847,0.0003890241,0.0002382357,-2.8012614137,42.7808830764,228.2961728677,3553.4194873055,3.3033223253,0.0154971403,10.9119383850,0.0002401614,3.5129856258,1.2752159185,1.9771416364,-0.3482055664,0.0003996741,0.9999821742,0.0895451293,medium,44,A
3.2986209498,0.0179807515,0.3779534665,0.0003233074,0.1428488228,-3.4470011219,-13.0434412054,330.7366859568,168.7133774780,3.2986699558,0.3789295533,10.8812234776,0.1435876064,3.6884670553,1.4506973479,1.6701254311,-5.0000000000,0.0003252092,0.9999851437,-0.0717298836,medium,44,B
3.3024820531,0.0353687761,0.0174814581,0.0012509503,0.0003056014,-31.1689545463,69.7292218925,1421.2208012868,6426.6611162647,3.3026714432,0.0175865863,10.9076386617,0.0003092880,3.4690389721,1.5822321238,1.6701254311,-0.3482055664,0.0012571109,0.9999426555,0.1091776634,small,13,A
3.3039055755,0.0197751714,0.0279795766,0.0003910574,0.0007828567,0.9112792834,44.2364802790,-0.1151554395,2159.4984353060,3.3039647560,0.0280482815,10.9161831089,0.0007867061,3.3812982574,1.4067506943,3.2496108890,-0.0410461426,0.0004063109,0.9999820880,0.0699502704,small,13,A
3.2875490402,0.0261543104,0.0077937918,0.0006840480,0.0000607432,-22.0356320335,-7.6294552407,939.9105174950,87.0734005031,3.2876530747,0.0079701556,10.8086627396,0.0000635234,3.3373516037,0.0466933195,2.1088290048,-0.1725769043,0.0008390744,0.9999683560,0.2092042348,small,13,B
3.2894611733,0.0212513919,0.1368865901,0.0004516217,0.0187379385,-18.3865133022,-35.9075393938,1125.3335915928,1311.7697392560,3.2895298193,0.1369009420,10.8210064320,0.0187418679,3.5567796869,1.6261787774,1.6701254311,-5.0000000000,0.0005626885,0.9999791320,-0.0144795812,large,174,B
3.2907097934,0.0176990752,0.0186339499,0.0003132573,0.0003472241,-4.2696717421,43.8280829245,288.1732548014,3253.8419901601,3.2907573902,0.0186891089,10.8290842014,0.0003492828,3.6007263405,1.6261787774,1.7139194922,-0.3919982910,0.0003995652,0.9999855362,0.0767729896,medium,44,B
3.2874537607,0.0223982869,0.0149157741,0.0005016833,0.0002224803,-14.8368380895,35.5745334034,803.9205913153,2722.6211238131,3.2875300626,0.0149605828,10.8078539122,0.0002238190,3.5129856258,1.4506973479,1.6701254311,-0.3482055664,0.0006590914,0.9999767905,0.0773385827,large,174,B
3.3000310433,0.0222420925,0.0122395588,0.0004947107,0.0001498068,-7.5309529008,-37.2323590177,391.8083265566,2063.7149896032,3.3001059979,0.0123309392,10.8906995975,0.0001520521,3.6884670553,0.0466933195,2.5037385174,-0.6991577148,0.0004947116,0.9999772872,0.1215170365,small,13,A
3.2848834900,0.0238141929,0.0121426741,0.0005671158,0.0001474445,-9.3976615155,2.4094325351,315.0750450589,147.0996460319,3.2849698109,0.0121431373,10.7910266584,0.0001474558,3.4690389721,0.3537095248,2.4597918638,-0.0848388672,0.0007956247,0.9999737225,0.0087340963,small,13,B
3.3004885323,0.0268543518,0.0112960487,0.0007211562,0.0001276007,-27.7913857118,-22.4665578942,1385.0255734099,926.0601189613,3.3005977805,0.0113626072,10.8939457084,0.0001291088,3.3373516037,0.0466933195,1.9771416364,-0.5236816406,0.0007213949,0.9999669005,0.1080788584,small,13,A
3.3047669368,0.0196793972,0.0134092831,0.0003872787,0.0001798089,0.9833061555,42.5040361139,-0.3014668189,2562.2054544769,3.3048255302,0.0135666512,10.9218717849,0.0001840540,3.5129856258,0.7925656911,3.1180761132,-0.1287841797,0.0004100024,0.9999822703,0.1518706725,small,13,A
3.2905617345,0.0207639839,0.0778312959,0.0004311430,0.0060577106,-18.1101930254,-61.6791650024,1104.8492218777,3987.8991639974,3.2906272459,0.0778372527,10.8282276714,0.0060586379,3.5567796869,1.6261787774,1.6701254311,-5.0000000000,0.0005202239,0.9999800915,0.0123715001,large,174,B
3.2871322727,0.0219486830,0.0125295915,0.0004817447,0.0001569907,-14.1041388100,26.6377619820,628.5077488381,1671.1342395139,3.2872055492,0.0126260046,10.8057203228,0.0001594160,3.4690389721,0.7486190374,2.2843104343,-0.2604675293,0.0006473231,0.9999777086,0.1233443770,small,13,B
3.2874015391,0.0237739541,1.1259030905,0.0005652009,1.2676577691,-21.1939876657,-3.9660053855,1160.0031605059,13.7328949984,3.2874875026,1.1569150455,10.8075740800,1.3384524225,3.4690389721,1.1435285501,1.9333475753,-5.0000000000,0.0007239221,0.9999738513,-0.2299846024,small,13,B
3.2993148621,0.0220278056,0.0159406745,0.0004852242,0.0002541051,-9.9655269971,19.3424607048,652.5815206550,2365.8465537752,3.2993883953,0.0159888907,10.8859637832,0.0002556446,3.7762077700,1.5384380627,1.7139194922,-0.6552124023,0.0004856936,0.9999777131,0.0776023284,large,174,A
3.2986263649,0.0212914180,2.4862813428,0.0004533245,6.1815949155,-8.8613792930,-0.2178547390,438.7753201107,-1.9525108088,3.2986950783,3.3386113928,10.8813892195,11.1463260325,3.6884670553,0.1344340342,2.5037385174,-5.0000000000,0.0004552114,0.9999791695,-0.6673935349,small,13,B
3.2886239391,0.0214911676,0.0168900666,0.0004618703,0.0002852744,-14.7304574979,50.6160539227,866.9332045768,4214.3018517761,3.2886941608,0.0169553417,10.8155092831,0.0002874836,3.5129856258,1.6261787774,1.6701254311,-0.3042602539,0.0005912850,0.9999786476,0.0876631541,large,174,B
3.3007684083,0.0219395975,0.0169038860,0.0004813459,0.0002857414,-9.1254767435,32.9563010387,618.8234247123,3591.6881088287,3.3008413217,0.0169910847,10.8955534313,0.0002886970,3.7762077700,1.6261787774,1.6701254311,-0.6552124023,0.0004819364,0.9999779107,0.1011815985,large,174,A
3.3011357704,0.0319041505,0.0084463451,0.0010178748,0.0000713407,-30.3110773743,-5.3758569245,1534.5393685081,57.9067761230,3.3012899372,0.0085723612,10.8985152496,0.0000734854,3.4690389721,0.0906399731,1.6701254311,-0.1725769043,0.0010191648,0.9999533010,0.1708346232,small,13,A
3.3013119426,0.0197319861,0.0202573541,0.0003893513,0.0004103604,5.4779250183,17.4939205615,101.0043549584,1623.1504862781,3.3013709113,0.0203522176,10.8990498938,0.0004142128,3.7762077700,1.0118411817,3.2496108890,-0.7431030273,0.0003910725,0.9999821381,0.0964388240,small,13,A
3.2895417190,0.0203670788,0.0162799573,0.0004148179,0.0002650370,-15.7850625937,51.0549798746,970.6052688893,4223.1440048276,3.2896047694,0.0163705021,10.8214995391,0.0002679933,3.5567796869,1.6261787774,1.7139194922,-0.3042602539,0.0005241935,0.9999808334,0.1050302655,large,174,B
3.2889262079,0.0174509715,0.0222743524,0.0003045364,0.0004961468,-0.8717076820,57.9187499848,2.4267130934,3868.2491021507,3.2889725048,0.0223834028,10.8173401376,0.0005010167,3.3373516037,1.4944914090,3.2496108890,-0.0410461426,0.0004271653,0.9999859236,0.0985906969,small,13,B
3.2886096280,0.0214429937,0.0165534175,0.0004598020,0.0002740156,-14.2892845170,50.2480521131,796.0900675046,4226.7364303556,3.2886795355,0.0166212706,10.8154130874,0.0002762666,3.5567796869,1.6261787774,1.7139194922,-0.3482055664,0.0005895426,0.9999787430,0.0902659454,large,174,B
3.2998985523,0.0173798277,0.3243010684,0.0003020584,0.1051711830,-4.7544956553,-15.2400617978,453.2052378666,231.1542350626,3.2999443198,0.3249174310,10.8896325140,0.1055713370,3.6007263405,1.4506973479,1.8894009217,-5.0000000000,0.0003020687,0.9999861308,-0.0615659470,medium,44,A
3.2877497121,0.0218746575,0.0171541163,0.0004785006,0.0002942637,-15.1113560216,49.9199098014,882.5112359724,4054.7376770020,3.2878224815,0.0172040522,10.8097766701,0.0002959794,3.5567796869,1.6261787774,1.7139194922,-0.3042602539,0.0006285702,0.9999778670,0.0761361544,large,174,B
3.2885621959,0.0191305587,2.1727682757,0.0003659783,4.7209219797,-2.8386720664,-1.1396045044,55.4544331616,-0.7011677782,3.2886178395,2.5122411236,10.8150072946,6.3113554631,3.4690389721,0.5731376080,2.8547013764,-5.0000000000,0.0004968016,0.9999830799,-0.5019915824,small,13,B
3.3029736611,0.0195130400,0.0207561294,0.0003807587,0.0004308169,1.2367498846,55.8716610353,3.8430776676,3912.5379748551,3.3030312994,0.0208631237,10.9100157645,0.0004352699,3.5567796869,1.5384380627,3.2058168279,-0.3919982910,0.0003896014,0.9999825499,0.1011458814,small,13,A
3.2865369507,0.0223922674,0.0160443553,0.0005014136,0.0002574213,-11.7085871150,40.7461849344,589.8549305935,3437.1677825967,3.2866132328,0.0160702400,10.8018265422,0.0002582526,3.5567796869,1.6261787774,1.8016602069,-0.3042602539,0.0006826673,0.9999767901,0.0567348990,large,174,B
3.2999781185,0.0214603146,0.1107890374,0.0004605451,0.0122742108,-6.8040524779,-43.4585991109,515.3972011870,1971.1707783887,3.3000478978,0.1107926494,10.8903161280,0.0122750112,3.7762077700,1.6261787774,1.6701254311,-5.0000000000,0.0004605456,0.9999788551,-0.0080748548,large,174,A
3.2885822516,0.0217856698,0.1364544124,0.0004746154,0.0186198067,-15.4631393927,-36.0284079903,859.2782285536,1320.2012685599,3.2886544119,0.1364717325,10.8152478407,0.0186245338,3.5567796869,1.6261787774,1.7139194922,-5.0000000000,0.0006049804,0.9999780578,-0.0159314316,large,174,B
